bipartisan	20624
on	20778 20159 16074 15314 21475 16331 16307 21469 15729 16763 19658 19110 21436 14984 21526 21080 19444 20461 16513 16264 17750 19489 16201 17766 15967 16681 15280 17470 18840 19199 17593 15415 16502 17574 21006 21197 16177 18744 16766 17906 14843 16256 20756 17926 17053 16871 20083 19377 20016 21387 15206 16112 15553 19041 15798 21576 16427 21368 20396 21497 15854 16774 15234 18938 21140 15110 16076 21319 15396 15200 18768 20446 16278 16213 16357 18277 18329 15571 21502 21201 15528 21122 20533 20262 19683 15325 15736 15949 21342 17963 15872 17810 16318 21302 19556 16285 20142 19539 17686 18086 21486 21565 20721 14988 16588 20624 15624 16555 17915 20835 18347 18079 15810 14951 19534 17777 16636 18263 16170 15694 17671 20005 15223 15803 17742 21218 20090 17492 16443 15303 15043 16152 16409 20058 20363 15335 16274 17507 20232 15742 20469 19433 18176 15691 17478 17958 16646 15026 21357 16163 21301 21541 19679 16320 16787 20790 14854 15324 18252 20031 19191 16271 20439 15560 15593 14881 16077 19478 15270 20409 18564 18257 20464 15090 16144 20210 18945 15367 16155 19411 21503 15894 20517 20052 19075 19630 14907 20887 18345 18254 15103 17776 21382 15065 16094 14943 17731 14849 20898 21525 15549 18751 19831 19668 21175 18296 21187 16642 16117 20829 16250 20458 16005 19950 19088 20922 15239 19273 17783 14932 15356 17658 16775 16359 19462 16365 18774 20039 20511 16765 18050 15501 18366 16723 20493 21130 18700 18071 19943 18851 14875 15855 16026 15956 16589 17929 16759 14921 16252 16824 20352 19378 19927 18920 17930 21443 19808 20095 18590 15906 16185 17948 15597 15060 20865 15156 18340 14904 19165 21435 19497 16383 16908 21574 17620 19023 18479 18992 20693 21367 20981 19509 20925 20936 14931 18835 15689 20882 16753 17511 15194 15253 17502 17883 21050 20764 18128 14840 18001 16257 17872 16286 17760 14862 20335 18904 15793 16200 15643 15545 19947 15521 16630 20817 15527 21259 19083 20532 20101 19483 20001 18487 16512 18362 18531 16817 15871 17670 18135 19555 16145 17771 16088 15322 15345 15621 17034 19464 18996 17986 18660 20678 20465 14957 18351 15444 15762 21023 16023 20828 16268 20719 20757 16680 19781 15639 19799 16442 15552 19541 18567 15574 15979 16770 17041 15093 17829 14967 14913 17048 17980 17509 18520 20264 16211 17037 20012 19727 15455 17480 20834 18150 16140 21031 14867 19875 17674 16009 20989 19780 17712 16607 20247 17051 21391 20231 15511 21490 16565 14828 16180 17952 18604 18599 16146 16162 20649 19702 20079 16747 20753 18911 16788 15121 17479 20909 17970 17823 19441 19432 16215 21292 21542 18280 20628 15366 16120 15438 16095 19529 15539 15451 18519 17925 16315 14891 19810 15161 14982 19802 18146 18858 19020 21260 21131 16312 20515 15610 20910 21265 14859 15055 21013 21575 19998 16226 19403 18621 16366 19181 16777 16619 19832 14844 21149 15033 21063 18321 19713 19334 18302 16179 15449 16658 15531 15929 15739 15190 18600 18332 20529 21209 16130 21163 20667 19918 19270 16932 20420 15893 14876 20279 21040 19672 16590 19807 19367 21002 19645 17968 17839 17573 15484 16475 19087 15372 20902 16856 21521 19073 16248 15569 21060 15551 16654 15254 17763 15424 18523 21093 19256 21557 14888 20907 17978 20763 15478 20881 17812 16158 19993 20618 16097 19418 20021 18297 16833 20462 20093 17038 15987 20168 16006 20931 16910 19968 19571 16399 21277 19551 19828 16794 16195 16851 21359 18865 19470 17886 18095 15975 19097 17640 15308 17805 15950 14941 16648 20038 19511 15364 15666 16505 18530 17577 15417 15421 17875 18035 21517 16232 14863 15964 16251 15290 15579 21232 15097 17494 21510 15993 16139 20774 16118 17436 17897 17700 15504 15913 21539 16107 16173 19540 20945 17876 15454 15841 19982 16072 15778 15472 15388 19955 17956 15413 19870 16262 16750 19280 15467 21473 16136 18275 21573 17960 20025 21423 19238 20348 20270 19397 15547 20679 19055 18577 17618 14885 18013 17816 21532 15584 16164 15817 15875 21568 19751 18337 14890 21138 17748 19787 21067 16650 20459 14912 16430 18888 16826 21142 21437 20500 19930 19758 19760 16238 17863 20770 21333 18571 19381 19559 20048 14873 16367 19697 19290 18188 18872 21322 15045 15349 19081 15578 18991 15450 18625 16068 16767 17924 19223 15246 19163 18576 16655 18849 19649 15625 19122 16216 17870 15171 16395 16370 20744 17486 18185 20738 15226 20263 15674 16784 19482 15310 17625 16053 17054 20300 20893 16265 16434 16075 15264 15696 17827 16677 15476 21419 19077 21071 18036 15179 15568 15380 18466 16591 18554 16564 20045 20208 15112 15581 16096 21459 20311 20632 14852 18229 19537 16316 16644 16176 15951 20321 18488 20034 19069 19127 19286 18509 14959 20071 15556 17849 16854 19471 19431 20267 17521 14829 19512 19167 18080 16739 18688 14930 18943 18674 20092 15939 16159 15453 17874 18472 21523 21123 15384 15352 20186 16429 19178 16481 17927 19775 15313 18917 19570 15400 20653 20333 16071 19981 21556 16214 20441 15838 15136 18276 21404 16852 21179 18210 19241 16354 19684 20773 17707 15149 18177 21561 20798 17907 15198 20467 21369 19557 16483 15811 15447 18334 15255 19028 19419 18973 19507 18085 15641 21287 21314 17585 20114 18317 15442 17714 20259 17452 19499 16086 19732 20314 19387 19318 15341 19546 15425 17923 17877 17462 18328 17694 20890 21512 18672 19477 16108 15753 18752 21550 16574 15853 16030 18565 21567 17457 18807 20878 17622 20389 17966 18902 15219 21000 19866 17892 14858 15095 15912 15389 20485 15973 20080 15052 18360 16161 20787 18271 15816 16929 18009 16415 20030 16203 16611 15213 15565 18490 17896 19343 19000 17888 15294 17962 16790 18781 19050 21492 20216 17780 21097 21411 16119 16649 15858 19061 18614 21538 21152 19756 16444 16236 21501 16740 16727 16492 17871 15091 16347 17950 17758 20698 19006 21251 20291 15840 20474 17911 20811 16538 19033 18029 16783 17499 18148 15620 15063 14839 19128 20103 16493 20013 21477 17519 17632 21076 21482 17759 19996 14933 19263 19065 19867 16143 20546 16656 16853 15808 20382 18238 18357 19059 18186 15720 21321 18924 18930 21202 15227 16332 14949 17860 14987 19882 20226 18882 17654 18663 19500 20035 18527 15240 18544 16749 17036 20710 15212 18104 16069 16875 20008 19351 21228 16063 19510 19380 16123 19625 15598 21216 16718 20959 21376 15238 15357 19213 14911 16093 18231 19285 18860 17047 21046 18962 17477 20991 20087 21508 20822 15020 14922 15154 16336 15686 17449 15460 16604 17516 17568 14969 14826 20709 20868 16926 15432 21493 17933 18540 21535 15550 20552 18667 20366 20723 20631 19040 21028 21571 17809 15916 17899 15629 18109
786	19880 20817 20813 21271 17672
$169	16794
disposition	15065 14921 15345 15189 16332
interfered	16112
breached	18835 20649 16215 16130 18575
152/153	17923
543	21275 15871 15864 15875 16551
storing	15106
an	20778 20159 20461 15314 21475 15448 16379 16307 19763 16577 16763 19110 16684 18676 16513 17750 19489 15967 16681 19658 15575 20494 19199 17593 19560 18896 21006 21197 16369 20869 18744 19041 14843 16256 15616 15200 18075 17574 19377 19409 16755 17906 15798 19744 16427 21368 20396 21497 16171 16774 17835 19271 18938 16278 18277 19359 19880 16029 15430 21502 17963 21293 21302 19556 16166 17915 18347 20584 18329 20262 19683 15736 15861 15368 20379 18086 21486 19480 21565 15918 16588 20624 16636 18263 17612 18138 16212 20005 18101 15273 15223 18557 18609 14951 20090 17492 16651 15043 17922 15335 16282 14928 20232 15742 16488 18176 15691 17478 18252 17958 14892 14865 21357 16163 20469 18539 19679 18108 16320 16787 19989 20790 19796 20031 19191 16155 19411 19703 19491 19478 20409 15721 18987 19630 20464 16144 18945 15894 20517 16077 15250 20052 19075 17596 18345 17776 21382 20829 14849 21525 19668 21175 19169 19448 15239 16737 15244 16923 17731 16499 18993 16250 18496 16005 20432 15605 16252 18774 20511 15597 18050 16723 18071 19943 18851 14875 19180 15855 16026 16589 17929 18811 16759 14921 19378 17798 19927 21443 17513 19808 20095 19325 16765 15156 18340 14904 20682 16449 16398 17620 18992 20764 14840 21367 16134 20981 19428 16700 18783 19509 20925 14931 18835 20882 21157 17894 19497 18873 16792 15296 19379 17883 19947 16630 17872 16286 17760 20775 20335 19083 19483 15617 18798 18904 16279 18531 15643 15545 17455 16257 14862 18034 20001 18504 17670 19555 19505 18975 15444 20037 16680 18660 20465 15345 15932 19464 16258 21023 16023 20828 16268 20719 19799 15552 18356 19541 18686 18567 19727 17749 15979 19903 16770 18300 19295 21128 18150 17048 17980 17562 16394 19875 20989 17952 17775 16162 19360 18348 16747 21391 17979 20231 15511 18099 16607 18352 18911 17723 18985 15121 17479 20909 17970 17823 19432 16215 15451 18280 14891 21260 15366 21131 18191 16095 16420 14982 19802 18146 18858 14859 15055 21013 21575 19998 16226 19403 17503 16179 18621 19155 16658 15929 18600 18332 16130 21149 15033 19773 17506 15049 16777 18852 14844 15263 20667 18470 19367 21002 19864 17573 19918 15703 17968 17839 17782 19270 19368 17716 15372 20902 16856 20907 21521 19073 15569 15551 16103 15254 18523 21093 16097 20462 16006 19968 21557 14888 15230 16248 20881 17812 16158 17673 17853 18297 16833 17559 16843 21277 19551 15655 17886 15653 19097 17640 14863 16190 16851 21078 20038 19511 15364 17752 18865 19470 16396 18095 16531 15421 16287 17688 21517 16621 16688 15290 15097 17700 14877 19037 21510 16139 18592 16118 17876 19982 18782 19540 16072 21573 17960 19092 19955 19397 19751 19870 14890 16750 15467 21143 21423 20348 20270 15276 17956 19055 18577 17618 21532 15584 16164 15817 15920 15804 20459 16430 17863 19559 14873 18888 18899 15045 18991 15885 15005 19986 17866 19760 16238 20550 21333 15450 18625 18136 18160 19930 19223 15246 18576 19364 18849 19649 21291 15625 16216 17870 18024 19844 16370 20744 19122 15879 15674 16784 15237 15310 16395 21243 18595 19895 20905 16075 21073 15264 17827 16564 16142 21419 19721 17054 17576 17662 16402 19312 16591 16677 15128 15581 19069 20311 18921 18642 14829 16316 16176 15106 20034 19286 14959 15556 17849 21459 19767 20632 18861 17644 14852 16739 14930 15939 17874 16481 19775 21123 15352 16852 16122 15306 19017 15453 18591 17039 15129 15313 18917 20333 21278 19981 17784 16214 17488 20441 18276 19297 21267 16622 18210 19241 16354 19684 21343 17707 15149 16225 21561 20467 21369 19028 19557 16483 19507 21314 16277 19499 16149 18334 15255 18317 17446 19387 19318 15447 15698 15341 19769 19546 15425 18752 20878 17955 17877 17462 18328 19492 20890 15912 15468 16108 17622 20389 17966 18902 19734 15219 21000 14858 20261 15095 15052 18360 20787 18271 18182 18009 16415 20030 16611 15213 16649 17962 16790 18781 21492 20216 17780 21097 15816 16519 21411 16119 19786 15565 17448 18490 19412 17896 19061 18614 18323 18994 21501 16740 16727 15836 17871 18029 15091 18148 16150 20698 19006 17993 15591 15840 20474 17911 18325 15620 15063 18859 19128 16241 19890 17519 15271 20291 17632 21076 19996 15031 16332 18467 14987 20972 19882 15561 19500 16868 15808 18238 18357 19059 19291 21321 19964 18924 18990 21202 15227 15464 19867 18336 19663 19283 20035 15240 20382 15927 17036 15212 18186 21466 16875 16123 21216 20911 15357 15363 19285 17864 18860 19380 19764 18104 14900 20959 21376 15238 16093 16403 18228 16404 20991 16926 15107 20723 15020 14922 21571 19549 15154 20137 15686 17449 16604 17516 17477 21039 14826 20709 20868 18540 21535 16779 21508
depositary	20766
surged	15413 16161 18994 20259 19499
mony	20775
jamaican	18150
brief	15621 17048 19968 19128 15686 19760 15450 14900 19285
treaty	18700 19775 21318
nerco	16007
progress	18257 20865 15253 15617 17980 15539 16226 15375 18638 17871 16343 19377 15452 18993 15549 19273 17674 21391 16072 16628 18995 21123 17707 18924 19867 16853
bookings	15639
hibbert	16564
cook	18034
offs	15967 15103 16642 15762 18530 15841 16367 16644 15838 16615 20393 15872 21201
claude	16093
poultry	18482 18277 18034 18099 15254 18276
definitions	19433
thatcher	16095
intends	21469 15956 17986 15968 15703 21030 15964 19751 20311 20773 17877 15213 21357 19473 15270 16600 18849 19649 16216
fdic	21342
priced	21486 17612 15481 19057 18621 16327 21067 16149 15816 19101 15471 17620 18479 16630 18904
counterfeiting	16926
jwt	19461 19470 18576 18575
downside	15442 15460
ba	17506 19256 17956
discord	14987
making	16577 15396 15549 17930 16190 16173 17816 15198 16611 18585 17900 17915 18138 17922 16651 15043 21357 19433 18252 14860 15805 18145 17518 19509 18479 17502 20764 14862 16207 18975 20828 18660 20465 17901 17980 16009 17051 16141 18599 18497 18563 16215 18621 16130 18302 19713 15427 18514 17573 14833 15569 16006 19501 17863 15349 19364 16784 15387 15380 17687 15384 17707 17907 18328 18672 15656 18271 15091 15063 19006 20489 14900 18495 15618 15154 21508 18667
audio	15154
snat	16921
drake	19373
nvis	19424
05/15	21131
meterological	15567
battered	15543
draught	21526
campbell	17871
margarine	18700
indication	17766 15689 20828 17980 21542 18332 20034 15352 14858 20868 17499 19006
sheen	14826
fip	17950
probable	18651 15539 15625
381	15605 14840 19561 15462 15733 16815 17791
enlargement	18744
continentale	16173
expires	16163 14849 15484 19470 19381 19431 15219 15565 19283 21565 17915 20079 18352 21557 19256 17579 15620
aren	18280 14890 18317
senators	20828 18554 20045
motivation	17906
trustee	19191 19343
depths	18739
716	20915 21037 21242
richardson	16190 19127 15840
faw	21006 19684 17925 21131
vr	19368
563	21022 15985 20191 17834 15953 16814 18482 20926
bars	15194 16179 15713
westport	20943 20388 20930
generating	14891
wyo	17601 16531 16563
foolish	19167
disagreements	19000
identity	16176 18029
sugars	19373
determination	21371 18050 21391 19432 19511 20071 19017 18325
carling	17053 18730 18029
sama	16180 16096
designate	19411 19255 19432 20795
tend	16777 16190 15246 19128 19882
resignation	15511 21510 18360 15253 17502
enemy	19560 16366 19559
warlike	21002
interests	18651 16155 17731 16175 15146 21333 16091 18591 16926 17750 18896 15575 20494 21006 19377 19041 15110 15616 18329 15861 19473 14860 15194 17502 18895 21259 20101 17913 17529 15366 21131 17652 16777 17968 16856 21517 15421 16761 16173 16710 16628 19751 14890 19152 18857
nash	18988
abolish	19444 15110 16403
retaliatory	21475 20865 18150 21013 16932 21517 20632 18867 16926 16257 20101 16088 20828 21492 21501
haefner	17700
mhc	20299 16636
gmt	15234 18086 21443 15253 15048 16140 21149 15536 21448 19507 15580 21475 18222 16163 20031 16136 15817 17966 15219 18228 20723 17899
contacts	19556 14840 16607 17925 20071 21369 16649 15675 20348 19751
hampshire	16581 16277 19050
abbett	15193
participating	18138 15157
markedly	19432 16158 20868
167a	15642
peabody	16307 17812 16826
nurtured	15372
prudence	16723 15313
qms	20499
operates	19271 17958 19325 18783 16258 18686 15121 15366 17968 16210 15467 18213 19734 19050 17993 21051 19832
fn	18040
1000	18751 19766 15097 19758 17966 20723
mcgroarty	17871
630	15906 18665 20566 15875 20564 17703 18860
related	20624 15103 14921 15156 16023 16140 21260 19823 16481 17892 16772 15238 21325 14843 18610 17612 17922 17731 19831 18895 16207 18225 15263 15478 19946 15987 16238 19697 19930 15380 15801 19732 19546 14949 19681 19882 18882
cargill	15415 15710 19057
peaks	14892 16072
domestically	16166 19534 15409 18185 20389 17759 14826 20868
who	16677 18357 16307 16577 16763 16513 17750 19560 16752 20869 21368 15736 17810 17915 15810 18313 17612 20005 16163 15742 20469 19191 19473 16271 20052 14907 16144 17731 19169 18071 20982 16765 16759 14921 19428 20764 15048 14862 19201 16903 19505 15621 20719 15639 20662 18356 17509 19541 20264 18150 17551 16009 19360 18911 20231 19432 21542 17925 18146 16226 19334 19403 18621 16777 19367 21002 19946 19506 21277 19828 15653 16287 16190 16851 17700 21510 18592 19982 18275 21423 21394 19955 15276 17618 19751 14890 19760 17863 21333 18136 19930 19664 19364 18185 16053 17521 19167 15556 17849 19684 18210 19241 18085 15442 20496 15255 19387 19318 17877 18328 20890 14858 18575 20389 17837 17780 18490 19343 18614 19756 16790 18325 15063 21251 19128 21477 15840 20911 21228 20734 16093 19285 19380 14826 20991 21508 21358 21493
tc	20824 21419 20698
ordered	20981 17509 17979 19982 15413 19223 17877 20811 20959 16926
curious	15551
dollar/yen	15454 16075
usacafes	21219
6250	19512
participants	17731 18975 20462 19397 15310 17780
sided	20631
endangered	16196
rubaishi	19505
listened	16088
1975	16680 19155 19037 18849 17966
switzerland	16250 15621 16190 18924 17857 15528
chosen	16307 21459 20632
orginially	16238
pritzker	15810
according	20005 16005 20270 20259 17993 15999 17873 19110 21497 18938 19683 15122 19539 16166 17507 15742 16787 19191 19411 18345 19927 17930 17513 15856 18992 17813 19083 19483 15643 17670 17771 15345 15639 19255 18954 19983 20834 19875 18306 18911 19869 19713 17503 16777 15210 18332 21002 15942 14833 21030 15551 16833 18658 15653 17866 21333 20500 19223 20744 17870 16677 19721 18921 19275 15939 17874 20186 17923 17877 15219 18009 18490 14900 17864
jacques	20922 15048 16139 19867
fabk	17822 16664
horick	19387 19318
put	16170 20699 15239 16723 19367 16434 16577 16763 18744 16112 14843 21497 18938 15110 16213 20262 21486 17915 20469 16320 17620 18992 20764 15639 17986 15863 15462 19432 14891 21131 19869 19181 16777 19832 19293 21557 16158 16843 16399 16195 15417 17876 19982 16072 19955 16164 14890 20048 20500 16784 15237 16053 15556 19167 21523 15865 19269 18973 15442 15425 17966 16119 17896 19061 16790 15227 16332 18357 17643 19285 17047 15460 14826
21p	16207
labelled	20045 20186
harold	16565 17782 17960
weirton	20220
murtha	14826
994	21324 16561 20972
finding	21497 18329 17670 21131 15372 15556 16097 16006
maximize	18138 19679 19325 19751 20311 20698 16332 19351 19428 17502
sait	14949
contrary	21542 16158 20038 18360 19912 19191
425	15822 16460 20937 19273 15521 15987 15875 20499 20660 16803 15851
stamping	16868
sustain	15452 17478 19483 15450 15310 15375 16097
pilot	15239 20764 19371 15939
hc	19639
swedish	16427 21293 16488 14974 16142 18085 17911 18223
20/4	15728 15727
capturing	20299
handled	19835 19947
specialist	17901 19073 16926 20667 19087
789	21430 21192 20476 19410 17887 20618 20021
acquisition	19344 17766 16307 21469 15575 18682 19409 17728 16112 17659 18938 17847 15963 20379 20142 18955 16796 19683 15861 18079 17710 16636 16668 16443 15900 19892 17612 18651 18101 20328 15037 19796 14865 21357 21421 15324 18252 19411 17825 19837 16450 16600 16510 14943 21041 18751 19950 16523 16737 18071 15501 15898 15956 16589 18157 16449 21435 17518 18783 17491 18479 18895 16007 19572 19860 17580 18975 20037 16023 19635 17986 18342 17913 16211 19983 15968 16140 17749 15717 19447 16033 20725 17723 17770 16420 17965 20174 19810 15161 15404 17867 17738 15312 19645 17782 18038 18654 18570 19368 17716 17673 17853 17559 20168 18658 21078 17752 15421 17688 16463 17700 15204 16210 15001 15489 20306 16710 17960 15778 19751 16676 15467 19902 19760 17863 19331 21478 18730 20744 16479 16216 17625 19312 17677 15476 16402 16521 20300 16677 15128 16219 20193 14852 19981 19297 18210 15149 18339 15479 18591 17719 17687 15309 21278 21134 18317 16277 18778 15698 19826 18037 19419 16663 21193 19734 17694 15912 15468 17683 15213 15565 19412 21393 21253 20119 18859 15591 18325 20811 17579 15091 19856 14949 19681 16041 15970 18882 15561 16875 16718 21376 15363 21046 16604 19830 21039 16404 21318
periodic	18176 19432 20787
spotting	20034
speciality	16141 15389
railway	16076 18963 16097 18842 15112
pattamapong	21493
derail	19968
win	16513 16112 18071 16095 16226 17812 16139 15149 18672 19882
lafayette	18906
through	17829 17766 18222 17574 16177 14843 15452 18938 20756 15110 15200 18277 18329 19683 21201 16166 21486 20624 15119 18138 15742 18108 17478 16421 14881 19478 14993 15952 20464 16144 16117 19169 19731 16252 17513 17948 16021 18050 15501 19927 20341 16383 18479 20693 17883 14931 18835 19483 16012 15871 17771 15444 15751 15639 17952 19371 20753 18352 18985 15121 17925 14891 19810 18858 21131 15500 19334 19403 16366 17506 19832 18066 19367 19918 21002 15893 21429 15551 15375 17763 21093 20093 16794 14941 15666 17886 15653 15421 18592 19982 19280 21573 17618 21568 15804 16238 14912 17863 19559 20048 16826 18991 18625 16068 20744 18849 20263 15625 16479 17054 17827 16564 19069 21459 20311 19471 14829 16739 18688 15939 19775 18917 17488 16354 18177 15306 15453 16762 21287 19499 17923 19492 15973 17966 18902 19734 17892 21000 19050 20030 15213 19000 17888 18614 20811 15063 20698 19964 14987 20546 16853 18186 15713 20734 19285 19510 17477 16404 21508 16563 15686
warrant	17612 21382 20432 16179 15569 16232 15464 15447 16149
muscles	21367 17886
gerhard	15234 17915 20089 15549 20925 20907 20038 20893 20071 20080 14987 15048 16200 20348 15562 20500 15450 21303 20259 20868 20087 21508 20631
pigmeat	19555
boakes	20262 17966
simplify	16171 16139
mac	15579
personnel	14843 18138 16765 20981 21149 19055 20103 15894 15103 21459 21210 20092 16159
kong	20457 21319 17777 21357 16685 18476 17529 16788 16761 14852 21550 21466 14911 14826 16775 14921 17930 19984 16872 20693 14888 17443
relate	16658
unocal	20919 21541 18795 19291 18789
operatorship	17618
quarter	15655 16264 15967 19647 20217 17682 15651 19742 16752 14984 16502 20497 16369 17906 15307 20304 21447 16278 16357 21302 19556 18086 16796 16342 21553 15742 21164 14882 15691 17478 16421 14928 18355 19651 20176 14854 15324 18252 16346 15250 19478 15602 19075 15103 21275 16888 16600 15270 14993 15065 16094 17731 19815 16250 16234 20191 16775 14832 16589 19422 16759 19915 18875 16252 16824 18061 16098 19509 16568 19497 21237 17883 18001 16812 19483 18904 20138 16817 15326 16495 18351 15762 21034 15639 15145 15552 15162 16711 20834 20779 15093 14867 16496 15979 14967 21222 20135 15189 18985 15511 21490 16565 15172 20753 16848 15539 18280 14891 16420 20628 21260 16312 18191 17965 20174 19998 19784 16893 18621 16777 16619 15190 15263 15312 21215 15274 16125 15703 16233 16275 20443 20279 16197 16248 21060 17812 16399 15056 16118 15841 16628 17595 20976 14975 19029 19787 19559 17633 16367 21142 21322 15005 16284 15704 15896 19644 16430 15226 19723 15674 15310 16053 16597 16434 21448 15801 16402 20300 16804 16339 21135 20180 20129 16644 18591 16481 19862 15309 21179 19009 16354 15205 17672 15641 18317 18213 16922 19499 21238 16527 16483 16574 16885 21193 17916 17622 20237 15292 17896 16740 16347 16283 20119 19128 17519 17632 21242 14933 15227 20226 15240 21336 18495 15598 15851 15821 19285 17047 18152 16336 16604 16897 18540 16343 15107 15550 16779 16148
